,_sa_instance_state,datetime,text,tweet_id,id,username
1724,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a869a0>,10/12/2022,Wacana Jokowi 3 Periode Didukung Seorang Habib: Saya Berani Taruhan Nyawa https://t.co/CgtTDIFttb,1601588150820016130,1725,RepelitaO
1725,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86a00>,10/12/2022,Hebat nih pak @jokowi Bisa jadi modal utk 3 periode.  Indonesia masuk dalam 100 negara paling miskin di dunia. Hal ini diukur dari Gross National Income (GNI) atau pendapatan nasional bruto per kapita.  Indonesia urutan ke-73 negara termiskin di dunia https://t.co/L09nuPwi4G,1601581683114852352,1726,tawajkt
1726,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86a60>,10/12/2022,"@OposisiCerdas Setelah pada punya ide pemilu ditunda, Jokowi 3 periode, ini ada lagi Jokowi boleh maju lagi, itu semua melanggar konstitusi, konstitusi itu 'rule of the game' bukan 'game of the rule', ikuti saja aturan mainya, 2 periode saja sdh susah apalagi 3 periode",1601581143584751617,1727,suchardie_doega
1727,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86ac0>,10/12/2022,@VIVAcoid Elo udah tua belajar pancasila tapi hasilnya makar konstitusi dengan statemen jokowi 3 periode,1601580136263925760,1728,Safei67593228
1728,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86b20>,10/12/2022,"Sepertinya harus 3 Periode yah?  ☝️  Artinya Seluruh perangkat Demokrasi yang ada sekarang akan ""di-labeli gagal"" menciptakan kader putera terbaik bangsa ini minimal setara kualitas Jokowi dong ? 😅  ☝️ ???  Atau elite nya emang ""masih nyaman"" dengan status quo ini? 😅",1601576469360091137,1729,JudahLion88
1729,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86b80>,10/12/2022,"@VIVAcoid Demokrat SBY,Jokowi PDIP mau 2 periode dan mau 3 periode. Siapa yg patuh konstitusi dan siapa yg nantang konstitusi.",1601575940672610307,1730,IiiYendrawati
1730,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86be0>,10/12/2022,@gibran_tweet Pingin #Jokowi3Periode pasti ane jadi orang paling bahagia sedunia. Karena melihat hatters Jokowi pasti tambah gila😂😂😂,1601575291146498048,1731,ParwantoAgus2
1731,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86c40>,10/12/2022,@mas_taqien @Aku_MohArwani @gibran_tweet Jokowi gak pernah lho minta 3 periode. Dia gak mau juga. Yg menggiring issu  3 periode itu orang lain. Jokowi jg gak takut kehilangan kursi presiden. Coba mas dibuka otak dan hatimu.,1601574920341041153,1732,Sutarjosebas2
1732,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86ca0>,10/12/2022,"@mas_taqien @Aku_MohArwani @gibran_tweet Ini org ga baca berita apa gimana sih kebanyakan main hp yg di search hal hal ga penting, Pak Jokowi sendiri gamau 3 periode",1601572342697631745,1733,sssugarsky
1733,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86d00>,10/12/2022,"hari ini baru tau, di papua nyebut uang 100rb an pake sebutan jokowi, kek ceban, gocap, gopek.... ini kenapa jokowi???? nama org???  kalo nyebut 300rb nyebutnya gimana??? 3 jokowi kakaa?? 3 periode saja kakaaa????",1601571687576674304,1734,mozverdriet
1734,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86d60>,10/12/2022,"Ketua MPR Bamsoet Bertanya Apakah Rakyat Masih Ingin Dipimpin Jokowi, Dukung 3 Periode?  Sdhlah bos...dulu pak SBY 2 periode berkuasa dmn rakyat merasakan keberhasilannya, ga ada tuh pejabatnya dukung 3 periode.  Mencoreng lembaga MPR sj ente bos! 🤦‍♂️🤦‍♂️🤦‍♂️",1601570994157518848,1735,bachrum_achmadi
1735,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86dc0>,10/12/2022,@umarhasibuan751 setuju jokowi 3 periode .hukum bisa di sisihkan dulu..jokowi 3 periode bila perlu demo dan reuni 1012  buat tandingan pe A 212 geblej,1601570839685918725,1736,buzerbosabasi77
